r_norm,g_norm,b_norm,hue,saturation,value,fruit
0.22,0.35,0.43,0.57,0.50,0.04,Blue Raspberry
0.25,0.33,0.42,0.58,0.40,0.04,Blue Raspberry
0.22,0.37,0.41,0.53,0.45,0.04,Blue Raspberry
0.22,0.37,0.41,0.53,0.45,0.04,Blue Raspberry
0.23,0.37,0.40,0.53,0.42,0.05,Blue Raspberry
0.23,0.37,0.40,0.53,0.42,0.05,Blue Raspberry
0.26,0.35,0.40,0.56,0.35,0.07,Blue Raspberry
0.23,0.35,0.42,0.56,0.46,0.05,Blue Raspberry
0.21,0.36,0.43,0.56,0.50,0.05,Blue Raspberry
0.23,0.37,0.40,0.53,0.42,0.05,Blue Raspberry
0.27,0.36,0.38,0.53,0.29,0.08,Blue Raspberry
0.26,0.36,0.38,0.53,0.32,0.07,Blue Raspberry
0.24,0.35,0.41,0.56,0.43,0.05,Blue Raspberry
0.22,0.37,0.41,0.53,0.45,0.04,Blue Raspberry
0.23,0.37,0.40,0.53,0.42,0.05,Blue Raspberry
0.24,0.36,0.40,0.55,0.41,0.07,Blue Raspberry
0.26,0.35,0.40,0.56,0.35,0.07,Blue Raspberry
0.23,0.37,0.40,0.53,0.43,0.05,Blue Raspberry
0.22,0.37,0.41,0.53,0.45,0.04,Blue Raspberry
0.23,0.35,0.42,0.56,0.46,0.05,Blue Raspberry
0.24,0.34,0.41,0.57,0.42,0.05,Blue Raspberry
0.26,0.36,0.38,0.53,0.30,0.08,Blue Raspberry
0.25,0.35,0.40,0.55,0.37,0.07,Blue Raspberry
0.22,0.34,0.44,0.57,0.50,0.05,Blue Raspberry
0.24,0.36,0.39,0.53,0.38,0.05,Blue Raspberry
0.23,0.35,0.42,0.56,0.46,0.05,Blue Raspberry
0.22,0.37,0.41,0.53,0.45,0.04,Blue Raspberry
0.22,0.37,0.41,0.53,0.45,0.04,Blue Raspberry
0.25,0.36,0.39,0.54,0.36,0.04,Blue Raspberry
0.26,0.36,0.38,0.53,0.33,0.07,Blue Raspberry
0.25,0.36,0.39,0.53,0.35,0.07,Blue Raspberry
0.24,0.37,0.39,0.53,0.38,0.06,Blue Raspberry
0.22,0.37,0.41,0.53,0.45,0.04,Blue Raspberry
0.22,0.37,0.41,0.53,0.45,0.04,Blue Raspberry
0.23,0.35,0.42,0.56,0.46,0.05,Blue Raspberry
0.26,0.34,0.39,0.57,0.33,0.06,Blue Raspberry
0.24,0.34,0.41,0.57,0.42,0.05,Blue Raspberry
0.23,0.35,0.42,0.57,0.45,0.04,Blue Raspberry
0.25,0.33,0.42,0.58,0.40,0.04,Blue Raspberry
0.24,0.33,0.43,0.58,0.44,0.04,Blue Raspberry
0.26,0.35,0.39,0.56,0.33,0.04,Blue Raspberry
0.25,0.35,0.40,0.56,0.38,0.06,Blue Raspberry
0.24,0.36,0.39,0.53,0.38,0.05,Blue Raspberry
0.23,0.36,0.41,0.55,0.44,0.06,Blue Raspberry
0.24,0.36,0.40,0.54,0.40,0.04,Blue Raspberry
0.23,0.35,0.42,0.57,0.45,0.04,Blue Raspberry
0.25,0.36,0.39,0.53,0.36,0.05,Blue Raspberry
0.24,0.34,0.41,0.57,0.41,0.07,Blue Raspberry
0.23,0.35,0.42,0.57,0.45,0.04,Blue Raspberry
0.25,0.34,0.41,0.57,0.38,0.05,Blue Raspberry
0.22,0.36,0.42,0.55,0.47,0.06,Blue Raspberry
0.23,0.35,0.42,0.57,0.45,0.04,Blue Raspberry
0.24,0.34,0.41,0.57,0.42,0.05,Blue Raspberry
0.25,0.36,0.39,0.53,0.36,0.05,Blue Raspberry
0.24,0.36,0.40,0.54,0.40,0.04,Blue Raspberry
0.23,0.35,0.42,0.57,0.45,0.04,Blue Raspberry
0.25,0.33,0.42,0.58,0.40,0.04,Blue Raspberry
0.24,0.36,0.40,0.54,0.40,0.04,Blue Raspberry
0.23,0.35,0.42,0.57,0.45,0.04,Blue Raspberry


